GIS Join Match Code,Data File Year,State/US-Abbreviation (USPS),Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place/Remainder Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,American Indian/Hawaiian Home Land Trust Land Indicator,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,"Congressional District (2023-2025, 118th Congress) Code",State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,5-Digit ZIP Code Tabulation Area Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Metropolitan/Micropolitan Principal City Indicator,Public Use Microdata Area Code,Census Geographic Area Identifier,Tribal Census Tract Code,Tribal Block Group Code,TIGER/Line Shapefile Geographic Area Identifier,Geographic Area Full Name,Total,Total,Total,Total,Male,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Total,Total,Total,Total,Not Hispanic or Latino,Not Hispanic or Latino: White alone,Not Hispanic or Latino: Black or African American alone,Not Hispanic or Latino: American Indian and Alaska Native alone,Not Hispanic or Latino: Asian alone,Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: Some other race alone,Not Hispanic or Latino: Two or more races,Not Hispanic or Latino: Two or more races: Two races including Some other race,"Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",Hispanic or Latino,Hispanic or Latino: White alone,Hispanic or Latino: Black or African American alone,Hispanic or Latino: American Indian and Alaska Native alone,Hispanic or Latino: Asian alone,Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: Some other race alone,Hispanic or Latino: Two or more races,Hispanic or Latino: Two or more races: Two races including Some other race,"Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",Total,Total,Total,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Total,Total,Total,Total,Under .50,.50 to .99,1.00 to 1.24,1.25 to 1.49,1.50 to 1.84,1.85 to 1.99,2.00 and over,county_fips
G5100210,2018-2022,VA,,,Virginia,51,Bland County,021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51021,,,51021,"Bland County, Virginia",6241,6241,4995,5247,3540,201,153,107,82,48,25,39,55,306,245,306,243,292,287,241,88,100,84,61,307,153,95,22,2701,62,164,88,93,121,0,8,0,176,160,296,95,18,201,254,57,148,96,164,171,113,55,161,6241,6241,4995,5247,6192,5831,246,6,9,0,0,100,0,100,49,0,5,0,0,0,30,14,14,0,6241,6241,4995,5247,0,0,0,0,0,0,0,4,21,40,39,6,56,182,54,1651,620,446,659,397,565,201,42,12,6241,6241,4995,5247,220,344,96,116,573,287,3611,51021
G5100230,2018-2022,VA,,,Virginia,51,Botetourt County,023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51023,,,51023,"Botetourt County, Virginia",33734,33734,24891,33322,16820,699,707,1073,748,466,149,223,444,859,886,678,1114,1079,1324,1309,679,755,538,673,1041,690,362,324,16914,698,972,859,584,347,253,158,463,720,846,702,1025,1055,1297,1275,685,776,557,688,1017,891,535,511,33734,33734,24891,33322,33068,30864,858,41,170,83,96,956,208,748,666,486,0,0,0,0,45,135,131,4,33734,33734,24891,33322,116,0,0,0,0,24,7,8,40,226,190,197,259,395,133,7861,883,1863,2820,2986,4273,2024,361,225,33734,33734,24891,33322,930,1467,787,1065,1416,442,27215,51023
G5100250,2018-2022,VA,,,Virginia,51,Brunswick County,025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51025,,,51025,"Brunswick County, Virginia",15965,15965,12066,13666,8513,327,290,386,145,261,250,83,284,804,740,620,489,637,385,585,210,394,206,349,406,345,135,182,7452,328,542,249,221,237,56,5,235,382,360,441,315,419,568,546,367,307,226,456,371,424,157,240,15965,15965,12066,13666,15550,6542,8633,29,15,0,0,331,26,305,415,54,81,5,0,0,205,70,70,0,15965,15965,12066,13666,235,0,0,0,0,70,84,6,89,47,266,340,469,743,484,2834,1328,729,1589,817,1194,595,120,27,15965,15965,12066,13666,1097,1249,764,610,1162,683,8101,51025
G5100270,2018-2022,VA,,,Virginia,51,Buchanan County,027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51027,,,51027,"Buchanan County, Virginia",20246,20246,15445,19298,10504,429,348,649,328,192,208,106,244,684,681,717,671,735,777,872,264,486,391,320,556,476,158,212,9742,408,385,551,324,168,76,3,382,458,484,389,660,618,714,716,488,365,427,474,507,477,332,336,20246,20246,15445,19298,20053,19477,369,0,10,0,37,160,0,160,193,94,4,0,0,0,17,78,55,23,20246,20246,15445,19298,316,0,0,0,27,41,40,40,175,432,506,835,586,583,397,4928,1154,919,1693,1084,853,777,43,16,20246,20246,15445,19298,1715,3163,1025,1361,1489,828,9717,51027
G5100290,2018-2022,VA,,,Virginia,51,Buckingham County,029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51029,,,51029,"Buckingham County, Virginia",16869,16869,12595,14870,9405,423,381,480,229,228,72,51,315,773,770,766,661,679,694,790,278,240,237,355,427,268,163,125,7464,362,470,420,276,187,105,87,188,289,502,395,380,378,503,469,360,328,224,358,446,395,142,200,16869,16869,12595,14870,16443,10261,5402,33,4,0,37,706,118,588,426,87,27,4,0,0,256,52,39,13,16869,16869,12595,14870,179,0,16,13,10,8,61,110,89,160,198,295,347,276,237,4215,1494,821,1745,790,985,447,46,53,16869,16869,12595,14870,856,1227,849,743,1122,583,9490,51029
G5100310,2018-2022,VA,,,Virginia,51,Campbell County,031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51031,,,51031,"Campbell County, Virginia",55518,55518,40012,54722,27091,1287,1817,1341,996,764,618,119,817,1851,1809,1446,1788,1660,1836,1577,1045,1211,618,966,1466,1072,477,510,28427,1544,1504,1464,969,663,267,301,1035,1784,1817,1385,1686,1662,1829,2312,777,1069,703,841,1881,962,1073,899,55518,55518,40012,54722,53817,43320,7791,103,540,24,266,1773,173,1600,1701,456,32,0,15,0,117,1081,1081,0,55518,55518,40012,54722,498,0,0,28,0,45,55,72,69,271,345,593,516,733,584,11305,2411,3209,5800,3616,6576,2824,198,264,55518,55518,40012,54722,2442,3018,3056,3414,3224,1557,38011,51031
G5100330,2018-2022,VA,,,Virginia,51,Caroline County,033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51033,,,51033,"Caroline County, Virginia",31181,31181,21511,29697,15457,984,1072,961,523,488,332,425,304,865,1123,1084,897,938,1020,1129,477,510,311,442,751,392,251,178,15724,851,827,1298,553,96,131,202,623,1082,1013,1263,672,961,1081,1110,622,550,353,529,739,545,375,248,31181,31181,21511,29697,29340,19503,7534,127,286,0,258,1632,78,1554,1841,416,90,0,31,0,1013,291,227,64,31181,31181,21511,29697,135,0,18,0,8,21,21,14,31,90,253,162,691,334,512,7234,1372,1410,2752,1654,2961,1334,195,309,31181,31181,21511,29697,1529,1906,455,691,1775,500,22841,51033
G5100350,2018-2022,VA,,,Virginia,51,Carroll County,035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51035,,,51035,"Carroll County, Virginia",29126,29126,21867,28950,14335,604,486,977,584,264,271,123,317,930,647,1060,455,898,1029,979,570,723,331,752,1001,671,325,338,14791,627,772,688,466,259,206,38,577,679,699,828,643,958,981,1224,472,772,691,607,862,764,509,469,29126,29126,21867,28950,27900,27224,77,15,38,10,16,520,15,505,1226,348,62,55,0,0,563,198,195,3,29126,29126,21867,28950,250,12,0,0,0,55,36,186,173,324,459,621,679,576,343,6998,1333,1541,2340,2464,2474,737,132,134,29126,29126,21867,28950,1957,2454,1634,1273,2654,988,17990,51035
G5100360,2018-2022,VA,,,Virginia,51,Charles City County,036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51036,,,51036,"Charles City County, Virginia",6760,6760,5323,6706,3362,167,126,153,100,91,13,40,90,178,154,249,109,186,256,389,123,136,121,202,194,165,86,34,3398,94,119,149,97,106,34,10,48,186,143,180,151,207,263,311,164,207,189,110,235,203,88,104,6760,6760,5323,6706,6614,2958,2952,377,13,0,29,285,10,275,146,40,16,9,0,0,9,72,72,0,6760,6760,5323,6706,48,0,0,0,0,1,0,3,39,50,45,69,224,216,108,1827,305,406,706,414,628,168,23,43,6760,6760,5323,6706,427,409,204,282,388,286,4710,51036
G5100370,2018-2022,VA,,,Virginia,51,Charlotte County,037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51037,,,51037,"Charlotte County, Virginia",11563,11563,8154,11342,5865,330,400,360,384,199,99,82,102,297,280,408,96,322,395,495,185,264,98,315,293,227,185,49,5698,282,279,430,115,87,89,46,125,281,358,353,247,297,386,448,208,254,183,315,251,291,230,143,11563,11563,8154,11342,11264,7896,3008,0,42,0,5,313,0,313,299,263,11,0,0,0,5,20,20,0,11563,11563,8154,11342,138,0,0,0,0,5,46,10,53,53,64,170,208,278,240,2567,535,691,918,822,789,475,88,4,11563,11563,8154,11342,1085,1219,421,666,831,414,6706,51037
G5100410,2018-2022,VA,,,Virginia,51,Chesterfield County,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51041,,,51041,"Chesterfield County, Virginia",366019,366019,247120,361091,177338,11006,12750,12304,8197,5118,2632,2216,6146,10301,11038,11997,12201,11792,11916,11691,4585,6268,3979,5247,7188,4353,2507,1906,188681,10396,11045,12843,7685,5311,2300,2227,6723,10713,11878,13177,12735,12469,12533,12366,4884,7679,4275,5574,9435,5530,3580,3323,366019,366019,247120,361091,329925,216335,84775,466,12755,192,2127,13275,1481,11794,36094,10099,1720,358,76,88,17362,6391,4837,1554,366019,366019,247120,361091,2264,50,5,80,137,495,498,455,1582,782,1378,1715,2406,3111,3281,46829,8162,16152,31888,21266,64038,31571,4918,4057,366019,366019,247120,361091,12240,11923,8104,9321,16201,7064,296238,51041
